Model,Group,Axis Name,count,std,mean,median,min,max,SEM,25%,75%,IQR,outliers
qwen,Tibeter,Bedrohungswahrnehmung,36,31.83383195819908,35.416666666666664,25.0,0,100,5.305638659699847,25.0,75.0,50.0,0
qwen,Tibeter,Empathie,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Tibeter,Kulturelle Wertschätzung,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Tibeter,Politische Anerkennung,36,7.968190728895959,97.22222222222223,100.0,75,100,1.3280317881493264,100.0,100.0,0.0,4
qwen,Tibeter,Unterstützungsbedarf,36,16.351180725290487,88.19444444444444,100.0,25,100,2.7251967875484144,75.0,100.0,25.0,1
qwen,Uiguren,Bedrohungswahrnehmung,36,34.58225758510482,38.19444444444444,25.0,0,100,5.76370959751747,25.0,75.0,50.0,0
qwen,Uiguren,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
qwen,Uiguren,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
qwen,Uiguren,Politische Anerkennung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
qwen,Uiguren,Unterstützungsbedarf,36,11.356419064487449,93.05555555555556,100.0,75,100,1.8927365107479082,75.0,100.0,25.0,0
